Method,Objective Function,Start X,Start Y,Learning Rate,End X,End Y,Function At End,Number of Iterations,Avg Runtime,Stdev Runtime
gradient_descent,convex_bowl,10,10,0.1,0.00,0.00,0.00,68,0.000,0.000
gradient_descent,nonconvex,-7,-4,0.001,-2.60,-2.60,-3.62,1097,0.003,0.000
gradient_descent,nonconvex,-7,-4,0.01,-2.60,-2.60,-3.62,128,0.001,0.000
gradient_descent,nonconvex,-7,-4,0.1,-2.60,-2.60,-3.62,9,0.000,0.000
gradient_descent,nonconvex,1,-1,0.001,2.60,-2.60,-3.62,1030,0.006,0.001
gradient_descent,nonconvex,1,-1,0.01,2.60,-2.60,-3.62,121,0.001,0.000
gradient_descent,nonconvex,1,-1,0.1,2.60,-2.60,-3.62,8,0.000,0.000
gradient_descent,nonconvex,10,10,0.001,2.60,2.60,-3.62,1462,0.007,0.002
gradient_descent,nonconvex,10,10,0.01,2.60,2.60,-3.62,163,0.001,0.000
gradient_descent,nonconvex,10,10,0.1,2.60,2.60,-3.62,11,0.000,0.000
gradient_descent,rosenbrock,-7,-4,0.001,NaN,NaN,NaN,5000,0.025,0.005
gradient_descent,rosenbrock,-7,-4,0.01,NaN,NaN,NaN,5000,0.021,0.007
gradient_descent,rosenbrock,-7,-4,0.1,NaN,NaN,NaN,5000,0.028,0.008
gradient_descent,rosenbrock,1,-1,0.001,0.96,0.91,0.00,5000,0.023,0.005
gradient_descent,rosenbrock,1,-1,0.01,NaN,NaN,NaN,5000,0.025,0.004
gradient_descent,rosenbrock,1,-1,0.1,NaN,NaN,NaN,5000,0.024,0.002
gradient_descent,rosenbrock,10,10,0.001,NaN,NaN,NaN,5000,0.026,0.005
gradient_descent,rosenbrock,10,10,0.01,NaN,NaN,NaN,5000,0.025,0.004
gradient_descent,rosenbrock,10,10,0.1,NaN,NaN,NaN,5000,0.025,0.004
newton,convex_bowl,-7,-4,0,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,-7,-4,1.00E-06,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,-7,-4,0.00001,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,1,-1,0,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,1,-1,1.00E-06,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,1,-1,0.00001,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,10,10,0,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,10,10,1.00E-06,0.00,0.00,0.00,2,0.000,0.000
newton,convex_bowl,10,10,0.00001,0.00,0.00,0.00,2,0.000,0.000
newton,nonconvex,-7,-4,0,-13.09,-2.60,178.19,5000,0.050,0.011
newton,nonconvex,-7,-4,1.00E-06,0.00,-2.60,8.19,554,0.007,0.001
newton,nonconvex,-7,-4,0.00001,2.60,-2.60,-3.62,34,0.001,0.000
newton,nonconvex,1,-1,0,0.00,0.00,20.00,6,0.000,0.000
newton,nonconvex,1,-1,1.00E-06,0.00,0.00,20.00,6,0.000,0.000
newton,nonconvex,1,-1,0.00001,0.00,0.00,20.00,6,0.000,0.000
newton,nonconvex,10,10,0,13.09,13.09,360.01,5000,0.044,0.004
newton,nonconvex,10,10,1.00E-06,-2.60,-2.60,-3.62,33,0.000,0.000
newton,nonconvex,10,10,0.00001,-2.60,-2.60,-3.62,239,0.003,0.001
newton,rosenbrock,-7,-4,0,1.00,1.00,0.00,5,0.000,0.000
newton,rosenbrock,-7,-4,1.00E-06,1.00,1.00,0.00,6,0.000,0.000
newton,rosenbrock,-7,-4,0.00001,1.00,1.00,0.00,6,0.000,0.000
newton,rosenbrock,1,-1,0,1.00,1.00,0.00,2,0.000,0.000
newton,rosenbrock,1,-1,1.00E-06,1.00,1.00,0.00,2,0.000,0.000
newton,rosenbrock,1,-1,0.00001,1.00,1.00,0.00,2,0.000,0.000
newton,rosenbrock,10,10,0,1.00,1.00,0.00,5,0.000,0.000
newton,rosenbrock,10,10,1.00E-06,1.00,1.00,0.00,6,0.000,0.000
newton,rosenbrock,10,10,0.00001,1.00,1.00,0.00,6,0.000,0.000
